main_category,url
Adult,bingoiceland.com
Bandwidth,pandora.com
Bandwidth,ustream.tv
Bandwidth,last.fm
Bandwidth,youtube.com
Bandwidth,mp3.com
Bandwidth,dailymotion.com
Bandwidth,searchmetrics.com
Business,gpo.gov
Business,nasa.gov
Business,fcbanking.com
Business,whitehouse.gov
Business,gc.ca
Business,paypal.com
Business,bankofamerica.com
Business,chase.com
Personal,gameforge.com
Personal,goodgamestudios.com
Personal,twitch.tv
Personal,world-nuclear-news.org
Personal,imdb.com
Personal,dccomics.com
Personal,facebook.com
Personal,twitter.com
Personal,espn.go.com
Personal,espncricinfo.com
Personal,bleacherreport.com
Personal,goal.com
Personal,amazon.com
Personal,cnn.com
Personal,gmw.com
Personal,bbc.co.uk
Personal,booking.com
Personal,tripadvisor.com
Personal,irctc.co.in
Personal,expedia.com
